iter	Passed	Remaining
886	3971	505
887	3975	501
888	3979	496
889	3983	492
890	3995	488
891	4000	484
892	4004	479
893	4008	475
894	4012	470
895	4016	466
896	4021	461
897	4025	457
898	4029	452
899	4034	448
900	4038	443
901	4042	439
902	4046	434
903	4051	430
904	4056	425
905	4060	421
906	4064	416
907	4068	412
908	4072	407
909	4077	403
910	4081	398
911	4085	394
912	4090	389
913	4094	385
914	4098	380
915	4103	376
916	4107	371
917	4112	367
918	4116	362
919	4120	358
920	4125	353
921	4129	349
922	4133	344
923	4138	340
924	4142	335
925	4147	331
926	4151	326
927	4156	322
928	4160	317
929	4164	313
930	4168	308
931	4172	304
932	4177	300
933	4182	295
934	4186	291
935	4191	286
936	4195	282
937	4199	277
938	4204	273
939	4208	268
940	4212	264
941	4217	259
942	4221	255
943	4225	250
944	4230	246
945	4234	241
946	4238	237
947	4243	232
948	4247	228
949	4251	223
950	4255	219
951	4259	214
952	4264	210
953	4268	205
954	4272	201
955	4277	196
956	4281	192
957	4285	187
958	4290	183
959	4294	178
960	4299	174
961	4304	170
962	4308	165
963	4313	161
964	4317	156
965	4322	152
966	4326	147
967	4331	143
968	4336	138
969	4340	134
970	4345	129
971	4350	125
972	4354	120
973	4359	116
974	4363	111
975	4369	107
976	4373	102
977	4378	98
978	4382	94
979	4386	89
980	4391	85
981	4395	80
982	4400	76
983	4404	71
984	4408	67
985	4413	62
986	4417	58
987	4421	53
988	4426	49
989	4430	44
990	4435	40
991	4439	35
992	4444	31
993	4448	26
994	4452	22
995	4457	17
996	4461	13
997	4466	8
998	4470	4
999	4475	0
